Site,Frequency,ReZxxCal,ImZxxCal,ReZxyCal,ImZxyCal,ReZyxCal,ImZyxCal,ReZyyCal,ImZyyCal,ReZxxObs,ImZxxObs,ReZxyObs,ImZxyObs,ReZyxObs,ImZyxObs,ReZyyObs,ImZyyObs,ReZxxErr,ImZxxErr,ReZxyErr,ImZxyErr,ReZyxErr,ImZyxErr,ReZyyErr,ImZyyErr,
11,1.000000e+003,-1.775057e-002,1.961354e-002,3.590356e-001,-4.207245e-001,-3.688645e-001,4.239384e-001,3.767507e-003,-6.694346e-003,-2.401800e-002,1.689500e-002,3.829400e-001,-3.665500e-001,-4.040100e-001,3.812000e-001,1.231600e-002,2.008400e-004,1.871500e-002,1.871500e-002,2.713200e-002,2.713200e-002,2.713200e-002,2.713200e-002,1.240700e-002,1.240700e-002,
11,1.000000e+003,-1.955120e-002,2.018294e-002,3.573455e-001,-4.318710e-001,-3.669560e-001,4.270823e-001,3.011215e-003,-3.580598e-003,-2.401800e-002,1.689500e-002,3.829400e-001,-3.665500e-001,-4.040100e-001,3.812000e-001,1.231600e-002,2.008400e-004,1.871500e-002,1.871500e-002,2.713200e-002,2.713200e-002,2.713200e-002,2.713200e-002,1.240700e-002,1.240700e-002,
12,6.309000e-002,-2.983163e-003,2.445047e-003,6.291857e-003,-2.208872e-003,-4.674976e-003,4.640073e-003,1.968329e-003,-4.855970e-004,-2.705000e-003,2.413100e-003,6.546000e-003,-2.274000e-003,-4.841000e-003,4.034000e-003,1.393200e-003,-8.722000e-004,7.517900e-004,7.517900e-004,7.514300e-004,7.514300e-004,1.041500e-003,1.041500e-003,4.827500e-004,4.827500e-004,
12,1.000000e-001,-3.949059e-003,2.772578e-003,6.780681e-003,-2.554676e-003,-6.293762e-003,5.636092e-003,2.036363e-003,-6.202198e-004,-4.020000e-003,2.994100e-003,7.048800e-003,-2.599100e-003,-6.072600e-003,5.160200e-003,1.512100e-003,-9.381300e-004,9.204900e-004,9.204900e-004,5.253200e-004,5.253200e-004,7.554600e-004,7.554600e-004,5.648600e-004,5.648600e-004,
12,1.584800e-001,-4.962729e-003,2.875295e-003,7.394135e-003,-3.055479e-003,-8.136282e-003,6.451062e-003,2.237919e-003,-8.181935e-004,-5.201800e-003,3.064700e-003,7.625000e-003,-3.080500e-003,-7.917600e-003,6.407900e-003,1.959300e-003,-1.070800e-003,1.056900e-003,1.056900e-003,6.452900e-004,6.452900e-004,5.059000e-004,5.059000e-004,7.153400e-004,7.153400e-004,
12,3.981000e-001,-6.979952e-003,2.716024e-003,8.955792e-003,-4.610034e-003,-1.227753e-002,8.094728e-003,2.867851e-003,-1.015579e-003,-6.954000e-003,2.120100e-003,9.248300e-003,-3.962900e-003,-1.117300e-002,7.461700e-003,3.059700e-003,-1.026900e-003,1.282900e-003,1.282900e-003,7.543900e-004,7.543900e-004,1.316800e-003,1.316800e-003,9.877300e-004,9.877300e-004,
12,6.309500e-001,-7.998404e-003,2.376749e-003,9.922082e-003,-5.904116e-003,-1.457922e-002,9.015371e-003,3.147213e-003,-1.075407e-003,-7.881500e-003,1.846800e-003,1.021900e-002,-5.159000e-003,-1.510200e-002,8.640500e-003,3.514300e-003,-2.313300e-004,1.443900e-003,1.443900e-003,8.766800e-004,8.766800e-004,8.278100e-004,8.278100e-004,1.174200e-003,1.174200e-003,
12,1.000000e+000,-8.963634e-003,1.762249e-003,1.118701e-002,-7.808337e-003,-1.701527e-002,1.017040e-002,3.418899e-003,-1.174392e-003,-8.966600e-003,4.768500e-004,1.114200e-002,-7.243200e-003,-1.735400e-002,9.227800e-003,3.650300e-003,1.996300e-004,1.638500e-003,1.638500e-003,9.825000e-004,9.825000e-004,8.080800e-004,8.080800e-004,1.271500e-003,1.271500e-003,
12,1.584800e+000,-9.754292e-003,7.196598e-004,1.305737e-002,-1.045074e-002,-1.967806e-002,1.168308e-002,3.689826e-003,-1.300957e-003,-9.561800e-003,-7.740300e-004,1.275300e-002,-9.960500e-003,-1.985100e-002,1.062300e-002,3.306600e-003,8.793100e-004,1.868900e-003,1.868900e-003,1.326700e-003,1.326700e-003,9.543600e-004,9.543600e-004,1.316500e-003,1.316500e-003,
12,2.511800e+000,-9.989123e-003,-8.735207e-004,1.584714e-002,-1.379044e-002,-2.257986e-002,1.363566e-002,3.868070e-003,-1.452913e-003,-9.698300e-003,-2.632500e-003,1.543000e-002,-1.333300e-002,-2.313300e-002,1.317400e-002,2.644400e-003,1.500800e-003,2.147300e-003,2.147300e-003,1.236700e-003,1.236700e-003,1.165000e-003,1.165000e-003,1.349500e-003,1.349500e-003,
12,3.981000e+000,-9.032910e-003,-2.719659e-003,1.971523e-002,-1.768377e-002,-2.558854e-002,1.631473e-002,3.767240e-003,-1.798976e-003,-8.534800e-003,-5.281100e-003,1.936200e-002,-1.747600e-002,-2.624900e-002,1.589500e-002,1.718800e-003,1.446700e-003,2.426900e-003,2.426900e-003,1.414500e-003,1.414500e-003,1.414500e-003,1.414500e-003,1.245500e-003,1.245500e-003,
12,6.309500e+000,-6.533319e-003,-3.436320e-003,2.452501e-002,-2.207815e-002,-2.885364e-002,2.063214e-002,2.274672e-003,-2.888237e-003,-6.735100e-003,-7.209100e-003,2.503100e-002,-2.142000e-002,-3.026400e-002,1.917700e-002,2.497700e-003,-1.826800e-005,2.704300e-003,2.704300e-003,1.717800e-003,1.717800e-003,1.717800e-003,1.717800e-003,1.419000e-003,1.419000e-003,
