Site,Frequency,ReTzxCal,ImTzxCal,ReTzyCal,ImTzyCal,ReTzxObs,ImTzxObs,ReTzyObs,ImTzyObs,ReTzxErr,ImTzxErr,ReTzyErr,ImTzyErr,
1002,6.309500e+000,1.439902e-001,6.959274e-002,-9.780910e-002,3.471090e-002,1.572300e-001,6.445100e-002,-9.606100e-002,3.158400e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1002,1.000000e+001,1.000065e-001,6.168263e-002,-9.455381e-002,2.357627e-002,1.249800e-001,5.959300e-002,-9.921400e-002,3.437200e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1002,1.000000e+001,1.037560e-001,6.059099e-002,-9.481190e-002,2.763976e-002,1.249800e-001,5.959300e-002,-9.921400e-002,3.437200e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1002,1.584800e+001,7.079368e-002,3.251956e-002,-8.910325e-002,2.954787e-002,1.009500e-001,3.100700e-002,-1.037200e-001,4.372800e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1002,1.584800e+001,7.563887e-002,2.997804e-002,-9.327169e-002,3.770750e-002,1.009500e-001,3.100700e-002,-1.037200e-001,4.372800e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1002,2.511800e+001,6.762637e-002,-7.635143e-003,-9.671793e-002,4.845084e-002,9.450000e-002,-8.997400e-003,-1.209800e-001,5.886500e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1002,2.511800e+001,7.461215e-002,-1.084701e-002,-1.068396e-001,5.648073e-002,9.450000e-002,-8.997400e-003,-1.209800e-001,5.886500e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1002,3.981000e+001,9.266279e-002,-3.550666e-002,-1.232865e-001,6.409518e-002,1.171000e-001,-2.092500e-002,-1.551800e-001,5.650600e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1002,3.981000e+001,1.020757e-001,-3.771438e-002,-1.375779e-001,6.829100e-002,1.171000e-001,-2.092500e-002,-1.551800e-001,5.650600e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1002,6.309500e+001,1.259327e-001,-3.535936e-002,-1.594107e-001,6.156724e-002,1.482200e-001,-2.078600e-002,-1.983900e-001,4.298100e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1002,6.309500e+001,1.368813e-001,-3.492465e-002,-1.744378e-001,6.066099e-002,1.482200e-001,-2.078600e-002,-1.983900e-001,4.298100e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1002,1.000000e+002,1.566887e-001,-1.052587e-002,-2.007988e-001,3.444099e-002,1.618500e-001,-1.964600e-003,-2.084100e-001,1.067400e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1002,1.000000e+002,1.459640e-001,-1.470658e-002,-1.877371e-001,3.937416e-002,1.618500e-001,-1.964600e-003,-2.084100e-001,1.067400e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
