MT    48
1  1  -2.052  1.667  
16
398.10000 3.1500e-02 -4.0971e-02 2.4865e-01 -2.5999e-01 -2.1485e-01 2.6975e-01 -7.5118e-02 9.8606e-03 2.0453e-02 2.0453e-02 1.7611e-02 1.7611e-02 1.7611e-02 1.7611e-02 2.4246e-02 2.4246e-02 
251.18000 1.6789e-02 -3.8676e-02 2.0571e-01 -2.1045e-01 -1.6548e-01 2.1081e-01 -7.3789e-02 1.8390e-02 1.6709e-02 1.6709e-02 1.4042e-02 1.4042e-02 1.4042e-02 1.4042e-02 2.1414e-02 2.1414e-02 
158.48000 6.2172e-03 -3.1882e-02 1.7148e-01 -1.7567e-01 -1.2938e-01 1.6239e-01 -6.7322e-02 2.7337e-02 1.3395e-02 1.3395e-02 1.1288e-02 1.1288e-02 1.1288e-02 1.1288e-02 1.8424e-02 1.8424e-02 
100.00000 -9.9259e-04 -2.0240e-02 1.3319e-01 -1.5000e-01 -9.7071e-02 1.2292e-01 -5.3698e-02 3.2935e-02 9.5638e-03 9.5638e-03 8.8629e-03 8.8629e-03 8.8629e-03 8.8629e-03 1.4900e-02 1.4900e-02 
63.09500 -6.6932e-03 -1.9564e-02 1.0428e-01 -1.2924e-01 -8.0210e-02 9.8025e-02 -4.1034e-02 3.4581e-02 8.7898e-03 8.7898e-03 9.2010e-03 9.2010e-03 7.2515e-03 7.2515e-03 1.2366e-02 1.2366e-02 
39.81000 -1.2893e-02 -1.3141e-02 6.5972e-02 -1.0627e-01 -5.8924e-02 7.2986e-02 -2.5980e-02 3.3217e-02 7.1982e-03 7.1982e-03 1.1007e-02 1.1007e-02 5.4160e-03 5.4160e-03 9.4341e-03 9.4341e-03 
4  4  1.700  -1.757  
19
1000.00000 -8.1737e-02 -9.9205e-02 5.5826e-01 -8.7562e-01 -7.1442e-01 8.9277e-01 1.4250e-01 -7.9322e-02 5.4803e-02 5.4803e-02 5.4484e-02 5.4484e-02 5.4484e-02 5.4484e-02 6.4775e-02 6.4775e-02 
630.95000 -6.0025e-02 8.7093e-02 4.0809e-01 -6.6615e-01 -5.6906e-01 7.1861e-01 1.1944e-01 -9.2573e-02 4.3119e-02 4.3119e-02 4.2311e-02 4.2311e-02 4.2311e-02 4.2311e-02 5.5826e-02 5.5826e-02 
398.10000 -3.4547e-02 6.7830e-02 3.1269e-01 -4.9795e-01 -4.1561e-01 5.7190e-01 8.6638e-02 -9.0587e-02 3.1734e-02 3.1734e-02 3.2237e-02 3.2237e-02 3.2237e-02 3.2237e-02 4.4653e-02 4.4653e-02 
251.18000 -2.8559e-02 4.3630e-02 2.3895e-01 -3.6719e-01 -3.0054e-01 4.3240e-01 5.3283e-02 -8.2040e-02 2.2672e-02 2.2672e-02 2.4015e-02 2.4015e-02 2.4015e-02 2.4015e-02 3.4045e-02 3.4045e-02 
158.48000 -1.9086e-02 2.6045e-02 1.8586e-01 -2.7470e-01 -2.2390e-01 3.2729e-01 2.9413e-02 -6.6963e-02 1.5523e-02 1.5523e-02 1.8133e-02 1.8133e-02 1.8133e-02 1.8133e-02 2.5545e-02 2.5545e-02 
100.00000 -1.5645e-02 1.5032e-02 1.4421e-01 -2.0219e-01 -1.6695e-01 2.3995e-01 1.2039e-02 -5.1415e-02 1.1011e-02 1.1011e-02 1.3472e-02 1.3472e-02 1.3472e-02 1.3472e-02 1.8636e-02 1.8636e-02 
63.09500 -1.4552e-02 7.5003e-03 1.1668e-01 -1.5309e-01 -1.3120e-01 1.8012e-01 1.5630e-03 -3.9238e-02 8.4203e-03 8.4203e-03 1.0355e-02 1.0355e-02 1.0355e-02 1.0355e-02 1.4032e-02 1.4032e-02 
39.81000 -1.3487e-02 2.7953e-03 9.3199e-02 -1.1038e-01 -1.0143e-01 1.2625e-01 -5.9747e-03 -2.6356e-02 6.6910e-03 6.6910e-03 7.6479e-03 7.6479e-03 7.6479e-03 7.6479e-03 9.9234e-03 9.9234e-03 
25.11800 -9.4903e-03 5.5827e-03 7.6208e-02 -7.9931e-02 -8.4037e-02 9.3493e-02 -9.8785e-03 -1.5910e-02 5.2306e-03 5.2306e-03 5.8914e-03 5.8914e-03 5.8914e-03 5.8914e-03 7.2780e-03 7.2780e-03 
15.84800 -8.0265e-03 6.2547e-03 6.3376e-02 -6.0806e-02 -7.0820e-02 7.1583e-02 -1.1674e-02 -8.1120e-03 4.4843e-03 4.4843e-03 4.7021e-03 4.7021e-03 4.7021e-03 4.7021e-03 5.6751e-03 5.6751e-03 
10.00000 -4.6293e-03 6.7256e-03 5.4879e-02 -4.7197e-02 -5.9226e-02 5.7130e-02 -1.1029e-02 -2.6520e-03 3.6466e-03 3.6466e-03 3.8589e-03 3.8589e-03 3.8589e-03 3.8589e-03 4.5828e-03 4.5828e-03 
6.30950 -2.0336e-03 5.1655e-03 4.6986e-02 -3.8492e-02 -4.7467e-02 4.5758e-02 -9.0597e-03 1.1934e-03 2.7544e-03 2.7544e-03 3.1641e-03 3.1641e-03 3.1641e-03 3.1641e-03 3.6818e-03 3.6818e-03 
3.98100 -1.2473e-03 3.2939e-03 3.9152e-02 -3.0799e-02 -3.6296e-02 3.7345e-02 -6.5064e-03 3.5427e-03 1.9869e-03 1.9869e-03 2.5467e-03 2.5467e-03 2.5467e-03 2.5467e-03 2.9463e-03 2.9463e-03 
2.51180 -1.0611e-03 1.7496e-03 3.3007e-02 -2.4995e-02 -2.8596e-02 2.9683e-02 -3.7293e-03 3.7214e-03 1.3807e-03 1.3807e-03 2.0655e-03 2.0655e-03 2.0655e-03 2.0655e-03 2.2104e-03 2.2104e-03 
1.00000 -2.6640e-03 -3.5837e-05 2.4142e-02 -1.3045e-02 -1.9669e-02 1.8638e-02 -2.1466e-04 2.2111e-03 1.2826e-03 1.2826e-03 1.3634e-03 1.3634e-03 1.3634e-03 1.3634e-03 1.1638e-03 1.1638e-03 
0.63095 -3.5429e-03 5.3895e-05 2.0885e-02 -9.1769e-03 -1.6951e-02 1.5042e-02 5.4654e-04 1.5886e-03 1.3486e-03 1.3486e-03 1.3909e-03 1.3909e-03 1.9058e-03 1.9058e-03 9.2554e-04 9.2554e-04 
0.39810 -2.7986e-03 5.8568e-05 1.8794e-02 -7.2784e-03 -1.4418e-02 1.2152e-02 1.3290e-04 1.6766e-03 1.1267e-03 1.1267e-03 1.5847e-03 1.5847e-03 1.4219e-03 1.4219e-03 8.4472e-04 8.4472e-04 
0.06309 -2.0680e-03 1.0898e-03 1.5029e-02 -3.1076e-03 -5.2175e-03 4.7420e-03 -1.3213e-03 -7.3171e-04 8.9842e-04 8.9842e-04 6.8457e-04 6.8457e-04 1.3395e-03 1.3395e-03 4.8948e-04 4.8948e-04 
0.03981 -2.8031e-03 5.0754e-05 1.3332e-02 -4.3457e-03 -3.9250e-03 4.2644e-03 -7.1141e-04 1.2335e-04 9.4050e-04 9.4050e-04 5.3093e-04 5.3093e-04 1.0826e-03 1.0826e-03 3.0685e-04 3.0685e-04 
5  5  -1.152  1.382  
17
